raw_aspect,sentence,label,label_id
camera quality,camera quality : awesome,camera,17
colors,it generates good colors,color,25
camera result,i like its camera result the most,camera,17
battery,battery : 3 step mode u consume ur power in emergency,battery,6
phone speed,speed : phone speed is moderate not too much good but its better,performance,68
display,display : generates color according to its price range but its good,display,37
touch,touch : touch is not much good but its better in this range,touchscreen,101
value of money,value of money : excellent in this price range,value_for_money,104
shappire blue,shappire blue is superb,color,25
front camera,"front camera excellent ,rear camera also superb",camera,17
rear camera,"front camera excellent ,rear camera also superb",camera,17
battery backup,battery backup good for my usage,battery,6
display good,display good it's not amoled,display,37
it's not amoled,display good it's not amoled,display,37
ips lcd display,it's ips lcd display it's ok,display,37
eye comfort option,it has eye comfort option,features,44
fast charging,fast charging superb,charging_speed,24
finger sensor,finger sensor very fast,fingerprint_sensor,45
notch display,notch display good,display,37
superb mobile,"overall the 'huawei honor 10 lite"" superb mobile in mid range",overall,65
built quality,and good built quality,build_quality,14
cameras,cameras are good 24mp camera at this price is simply awesome decent for selfie freaks,camera,17
24mp camera,cameras are good 24mp camera at this price is simply awesome decent for selfie freaks,camera,17
selfie,cameras are good 24mp camera at this price is simply awesome decent for selfie freaks,camera,17
kirin 710 processor,"kirin 710 processor : lag free performance for gaming like pubg , call of duty & others",performance,68
"lag free performance for gaming like pubg , call of duty & others","kirin 710 processor : lag free performance for gaming like pubg , call of duty & others",gaming_performance,47
sound quality,sound quality is good & speakers are good & loud,sound_quality,93
speakers,sound quality is good & speakers are good & loud,speakers,96
built quality,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,build_quality,14
it feels like glass finished,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,build_quality,14
doesn't looks like a plastic body,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,build_quality,14
premium look,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,design,34
can hold comfortably in hands,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,ergonomics,42
camera,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",camera,17
design,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",design,34
light weight,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",weight,108
good battery life,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",battery,6
one full charge will make your day,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",battery,6
"play pubg, call of duty without any issue","superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",gaming_performance,47
it,just love it,overall,65
mobil,good and best mobil honor is best company,brand,10
phone,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",overall,65
performance,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",performance,68
camera quality,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",camera,17
battery charging,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",charging_speed,24
drain,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",battery,6
mobile design,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",design,34
smartphone,it's actually a pretty good smartphone,overall,65
this,i had vivo y91i but comparing each other this is better in every way,overall,65
stock wallpapers,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",ui,102
ringtones,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",sound_quality,93
icons,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",ui,102
the ui,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",ui,102
case,honor 9 lite had a better case and this one comes with a cheap back cover,accessories,0
cheap back cover,honor 9 lite had a better case and this one comes with a cheap back cover,accessories,0
light weight,"light weight, fits in palm perfectly",weight,108
fits in palm perfectly,"light weight, fits in palm perfectly",ergonomics,42
poco launcher,poco launcher is better than stock one,launcher,55
stock one,poco launcher is better than stock one,launcher,55
camera quality,very good camera quality and performance is excellent,camera,17
performance,very good camera quality and performance is excellent,performance,68
phone,freedom sale thanks flipkart very fast deliveryi am very happy used this phone,overall,65
camera,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,camera,17
dslr effect,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,camera,17
front camera,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,camera,17
honor 10 lite camera,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,camera,17
honor 10 lite,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,overall,65
good pictures,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,camera,17
phone,best phone in this price,overall,65
product,i'm very happy with this product,overall,65
notch,notch is small and negligible so full screen is there almost for use,display,37
full screen,notch is small and negligible so full screen is there almost for use,display,37
camera,camera is good as for now,camera,17
battery backup,battery backup is also more than good enough for the price i paid,battery,6
price i paid,battery backup is also more than good enough for the price i paid,price,74
honor 10 lite,oh my god honor 10 lite is realllllly so cool phone,overall,65
phone,oh my god honor 10 lite is realllllly so cool phone,overall,65
cool phone,everyone people should buy this cool phone and also thank you flipcart and honor❤️❤️,overall,65
phone,great phone that i never had used,overall,65
cam,the brand i like soo much for its cam and performance,camera,17
performance,the brand i like soo much for its cam and performance,performance,68
play high ranged games like pubg,i used honor 7c before it is soo good to play high ranged games like pubg,gaming_performance,47
phone,and i make sure that this phone is even more better than it,overall,65
it,so i ll give 5 stars to it,overall,65
camera,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,camera,17
selfie burst,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,camera,17
steel frame,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,build_quality,14
kirin 710,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,internal_components,53
screen,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,display,37
selfie camera,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,camera,17
phone,amazing phone in this price range,overall,65
price range,amazing phone in this price range,price,74
it,i got it in sale in 7199 only it is amazing,overall,65
no problem,it's been a month using this and no problem is there so far,overall,65
camera,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",camera,17
selfie phone,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",camera,17
rear camera,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",camera,17
pro mode,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",camera_settings,21
manual controls,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",camera_settings,21
interface,interface is user friendly,ui,102
phone,so far it is the best phone in this range,overall,65
honor,honor is the excellent phone than all,brand,10
phone,honor is the excellent phone than all,overall,65
camera,camera is really so good,camera,17
performances,most important it's performances,performance,68
pubg and pubg lite,you can play both pubg and pubg lite so easily,gaming_performance,47
i play both,its i play both without any issues,gaming_performance,47
it,just go for it without think,overall,65
super phone,super phone i like my wife like and super colour,overall,65
super colour,super phone i like my wife like and super colour,color,25
back camera,back camera is below average and front is also an average one,camera,17
front,back camera is below average and front is also an average one,camera,17
processor,processor is very smooth and fast,performance,68
build of the phone,build of the phone is good,build_quality,14
glass feel,but lacks the glass feel,material_feel,57
camer performance,overall completely dissatisfied with the camer performance,camera,17
overall,overall completely dissatisfied with the camer performance,overall,65
phone,"after almost 6 months of usage, the phone is still in great shape",overall,65
battery,the battery could have been better but it isn't that bad,battery,6
buy,a satisfying buy,overall,65
camera quality,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",camera,17
mobile look,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",design,34
lite weight,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",weight,108
battery backup,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",battery,6
in budget phone,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",value_for_money,104
ergonomics,p r o sgood ergonomics and nice grip,ergonomics,42
grip,p r o sgood ergonomics and nice grip,grip,51
loudspeaker,the loudspeaker is loud indeed,speakers,96
battery life,above average battery life,battery,6
large screen,decent large screen,display,37
the kirin 710,the kirin 710 is a good performer,performance,68
uic,customizable and feature-rich uic o n splasticky build,ui,102
feature-rich uic,customizable and feature-rich uic o n splasticky build,ui,102
plasticky build,customizable and feature-rich uic o n splasticky build,build_quality,14
fast charging,no fast charging,charging_speed,24
camera performance,underwhelming camera performance,camera,17
video stabilization,no video stabilization and no 4k video recording,video_resolution,106
4k video recording,no video stabilization and no 4k video recording,video_resolution,106
emui implementations,we've seen more responsive emui implementations,ui,102
microusb connector,dated microusb connector instead of usb-c,charging_port,23
phone,it's just amazing phone,overall,65
display,don't go for ratting bcz when i bought it it's ratting for display is 3,display,37
display,5 only but i like display too much& i will definitely give 5/5 for display,display,37
camera of phone both front and back,camera of phone both front and back is also superb but it's night mode is not upto mark & it needs very much improvement,camera,17
it's night mode,camera of phone both front and back is also superb but it's night mode is not upto mark & it needs very much improvement,camera_settings,21
battery backup,battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itas per my suggestion u should,battery,6
capacity of 3400mah,battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itas per my suggestion u should,battery,6
it feels like premium phone while holding it,battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itas per my suggestion u should,material_feel,57
this phone,i've been using this phone from the last 10 days and i know how awesome this phone is,overall,65
ai features of the camera,ai features of the camera is excellent to take daylight shots and night shots are also amazing,camera,17
daylight shots,ai features of the camera is excellent to take daylight shots and night shots are also amazing,camera,17
night shots,ai features of the camera is excellent to take daylight shots and night shots are also amazing,camera,17
battery backup,battery backup is awesome and no lags are seen while playing games or doing multitasking,battery,6
lags,battery backup is awesome and no lags are seen while playing games or doing multitasking,performance,68
fhd+ lcd panel,many phones in this price segment comes with hd+ resolution but this packs a fhd+ lcd panel which is great,display,37
emui,emui works smoother than miui or coloros,ui,102
product,good product and worth for that amount,overall,65
amount,good product and worth for that amount,value_for_money,104
price ratio,good but as compared to price ratio the honor 10 lite is not value for money,value_for_money,104
battery,and battery is just 3400mah which not that good,battery,6
run-out,if you used it heavy than just run-out within 4,battery_life,7
battery,for battery big thumbs down,battery,6
rest is things,rest is things is just ok not so good not so bad just average,overall,65
speed perfomance,huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,performance,68
quality camera,huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,camera,17
battery life,huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,battery_life,7
honor phone,"honor phone are best phone, huawei is 2nd largest smartphone company in the world",brand,10
phone,overall this is really best phone,overall,65
camera,camera is superb,camera,17
displaye,displaye is awesome,display,37
battery,battery is out of 4/5,battery,6
durable phone,according to me this is a durable phone,build_quality,14
product,product is good,overall,65
lightly overheating problem,lightly overheating problem,heat,52
unlock system,unlock system not as fast as much would be,face_unlock,43
looking smart,looking smart and more attractive,design,34
more attractive,looking smart and more attractive,design,34
colour variation,colour variation is best,color,25
slim,slim and smart mobile phone,slimness,88
smart mobile phone,slim and smart mobile phone,design,34
phone,good phone for the price,overall,65
price,good phone for the price,price,74
phone,"rather i would say, best phone in this segment",overall,65
battery life,"love the battery life, display and camera of this phone compared to many others i have tried",battery_life,7
display,"love the battery life, display and camera of this phone compared to many others i have tried",display,37
camera,"love the battery life, display and camera of this phone compared to many others i have tried",camera,17
design,amazing design very excellent performance and very good camera quality in honor 10 lite also i like huawei honor mobile,design,34
performance,amazing design very excellent performance and very good camera quality in honor 10 lite also i like huawei honor mobile,performance,68
camera quality,amazing design very excellent performance and very good camera quality in honor 10 lite also i like huawei honor mobile,camera,17
decision,initially i was somewhat skeptical but extremely happy with my decision now,overall,65
miui9,miui9 is fun to go along,ui,102
os,the far better os compared to xiaomi and realme,software,91
notch settings,"it has numerous useful features in it like notch settings, display settings and customizations etc",display,37
display settings,"it has numerous useful features in it like notch settings, display settings and customizations etc",display,37
customizations,"it has numerous useful features in it like notch settings, display settings and customizations etc",features,44
os,"the os, display (fhd+ notch), file manager, camera are the biggest assets",software,91
display (fhd+ notch),"the os, display (fhd+ notch), file manager, camera are the biggest assets",display,37
file manager,"the os, display (fhd+ notch), file manager, camera are the biggest assets",software,91
camera,"the os, display (fhd+ notch), file manager, camera are the biggest assets",camera,17
clean,they are clean and beautiful and very easy to organise,design,34
beautiful,they are clean and beautiful and very easy to organise,design,34
easy to organise,they are clean and beautiful and very easy to organise,usability,103
ai camera,especially the ai camera adjusts its settlings very optimally to get,camera,17
settlings,especially the ai camera adjusts its settlings very optimally to get,camera_settings,21
phone,nice phone camera is best all settings tha best tha compair vivo s1,overall,65
camera,nice phone camera is best all settings tha best tha compair vivo s1,camera,17
all settings,nice phone camera is best all settings tha best tha compair vivo s1,camera_settings,21
camera,very good camera and very good experience i like this,camera,17
experience,very good camera and very good experience i like this,overall,65
smart phone,smart phone and high quality gaming experience very smooth gaming experience,phone_type,71
high quality gaming experience,smart phone and high quality gaming experience very smooth gaming experience,gaming_performance,47
smooth gaming experience,smart phone and high quality gaming experience very smooth gaming experience,gaming_performance,47
value for money,"this mobile honer 10 lit value for money i love it, and camera quality is a good quality",value_for_money,104
camera quality,"this mobile honer 10 lit value for money i love it, and camera quality is a good quality",camera,17
battery pick up,but one disappoint in battery pick up is very most 😭😭,battery,6
this mobile,and also good for this mobile i love it♥️♥️♥️😍😍😍,overall,65
product,the product is good one,overall,65
screen protection,it is covered with screen protection,display_protection,38
the phone,the phone is working in good condition,overall,65
fm,fm is very good,fm_radio,46
camera,camera ok overall good,camera,17
overall,camera ok overall good,overall,65
battery backup,battery backup is 3 days if you are not using videos,battery_life,7
this price range,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",price,74
features,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",features,44
camera,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",camera,17
battery backup,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",battery_life,7
features of the mobile,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",features,44
camera,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",camera,17
selfie camera,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",camera,17
bookeh effect,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",camera,17
battery,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",battery,6
storage,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",storage,98
3gb ram,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",internal_components,53
phone,best phone under this prize but speaker quality not good but best phone,overall,65
prize,best phone under this prize but speaker quality not good but best phone,price,74
speaker quality,best phone under this prize but speaker quality not good but best phone,speaker_quality,95
phone,very good phone for this price,overall,65
price,very good phone for this price,price,74
camera,camera may not satisfy those who like taking pictures and all,camera,17
overall performance,"but for someone like me who is more concerned about overall performance and ability to do my work seamlessly, this phone has given me enough reasons to not complain",performance,68
ability to do my work seamlessly,"but for someone like me who is more concerned about overall performance and ability to do my work seamlessly, this phone has given me enough reasons to not complain",performance,68
processor,the processor is good and ram is just enough to prevent apps from hanging,performance,68
ram,the processor is good and ram is just enough to prevent apps from hanging,storage,98
multitasking,many times i do multitasking and it hasn't let me down,performance,68
storage,"since i am not into photography and video making, storage is less of a concern",storage,98
speaker,speaker could have been b,speakers,96
expectations,and it hasn't failed the expectations,overall,65
cheapest price,best in the cheapest price,price,74
look,decent and sleek look,design,34
smartphone,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",phone_type,71
battery,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",battery,6
camera,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",camera,17
display,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",display,37
performance,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",performance,68
rear camera,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",camera,17
product in this price range,very good product in this price range display is very good and camera is also good,value_for_money,104
display is very good,very good product in this price range display is very good and camera is also good,display,37
camera is also good,very good product in this price range display is very good and camera is also good,camera,17
small size battery,small size battery but not small size backup very good battery backup,battery,6
small size backup,small size battery but not small size backup very good battery backup,battery_life,7
battery backup,small size battery but not small size backup very good battery backup,battery_life,7
ur money will not waste,i challengeas per my point of view ur money will not waste for this mobile,value_for_money,104
smartphone,a good step towards customer for their full satisfaction in term of smartphone by honor huwai,phone_type,71
product,this product is so cute,overall,65
phone,"this is the really great phone in this price, i searched all brands like oppo, vivo, redmi etc",phone_type,71
price,"this is the really great phone in this price, i searched all brands like oppo, vivo, redmi etc",price,74
future,"but never get all these future in this price range, honor 10 lite best phone in this price range",features,44
price range,"but never get all these future in this price range, honor 10 lite best phone in this price range",price,74
phone,"but never get all these future in this price range, honor 10 lite best phone in this price range",phone_type,71
