product,category,rating,review_title,sentence
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Camera quality : Awesome
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,it generates good colors
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,i like its camera result the most
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Battery : 3 step mode u consume ur power in emergency
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Speed : phone speed is moderate not too much good but its better
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Display : generates color according to its price range but its good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Touch : touch is not much good but its better in this range
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Value of money : excellent in this price range
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Awesome mobile , I got it with in 2 days"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,shappire blue is superb
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Front camera excellent ,Rear camera also superb"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Battery backup good for my usage
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Display good it's not AMOLED
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,it's IPS LCD display it's ok
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,it has eye comfort option
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Fast charging superb
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Finger sensor very fast
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Notch Display Good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Overall the 'Huawei Honor 10 lite"" superb mobile in mid range"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,and good built quality
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Thanks to Huawei, Flipkart and the indiflash mart seller"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Honor 10 lite :Pros
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Cameras are good 24MP camera at this price is simply awesome decent for selfie freaks
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,"Kirin 710 Processor : lag free performance for gaming like pubg , call of duty & others"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,sound quality is good & speakers are good & loud
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Battery : One o
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,"Superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Just love it
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Must buy!,good and best mobil honor is best company
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,it's actually a pretty good smartphone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,I had vivo y91i but comparing each other this is better in every way
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"the honor 10 lite stock wallpapers,ringtones, icons and the UI is boring"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,honor 9 lite had a better case and this one comes with a cheap back cover
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"light weight, fits in palm perfectly"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,poco launcher is better than stock one
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,very good camera quality and performance is excellent
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,i bought only 8009rs only
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,freedom sale thanks flipkart very fast deliveryI am very happy used this phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Awesome phone bought it Yesterday
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Best phone in this price
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I give my review after 1month of using this mobile
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I'm very happy with this product
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,First of all it was a very quick Delivery
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Received the device just in 1½day so Thanks Ekart
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,"Coming to device, it looks beautiful and gives a premium feeling"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Notch is small and negligible so full screen is there almost for use
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Camera is good as for now
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Battery backup is also more than good enough for the price I paid
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Oh my God honor 10 lite is realllllly so cool phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,everyone people should buy this cool phone and also thank you flipcart and honor❤️❤️
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,Great phone that I never had used
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,The brand I like soo much for its cam and performance
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,I used honor 7c before it is soo good to play high ranged games like pubg
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,And I make sure that this phone is even more better than it
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,So I ll give 5 stars to it
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Amazing phone in this price range
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I got it in sale in 7199 only it is amazing
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,It's been a month using this and no problem is there so far
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"Camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Interface is user friendly
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I don't use it for gaming etc
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,so far it is the best phone in this range
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Honor is the excellent phone than all
