product,category,rating,review_title,sentence,raw_aspect,initial_canonical_feature,final_canonical_feature,sentiment,match_type,has_feature
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Camera quality : Awesome,Camera quality,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,it generates good colors,colors,color reproduction,color,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,i like its camera result the most,camera result,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Battery : 3 step mode u consume ur power in emergency,Battery,battery,battery,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Speed : phone speed is moderate not too much good but its better,phone speed,performance,performance,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Display : generates color according to its price range but its good,Display,display,display,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Touch : touch is not much good but its better in this range,Touch,touchscreen,touchscreen,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Value of money : excellent in this price range,Value of money,value for money,value_for_money,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,shappire blue is superb,shappire blue,color,color,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Front camera excellent ,Rear camera also superb",Front camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Front camera excellent ,Rear camera also superb",Rear camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Battery backup good for my usage,Battery backup,battery,battery,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Display good it's not AMOLED,Display good,display,display,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Display good it's not AMOLED,it's not AMOLED,display,display,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,it's IPS LCD display it's ok,IPS LCD display,display,display,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,it has eye comfort option,eye comfort option,display,features,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Fast charging superb,Fast charging,battery,charging_speed,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Finger sensor very fast,Finger sensor,fingerprint sensor,fingerprint_sensor,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Notch Display Good,Notch Display,display,display,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Overall the 'Huawei Honor 10 lite"" superb mobile in mid range",superb mobile,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,and good built quality,built quality,build quality,build_quality,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Cameras are good 24MP camera at this price is simply awesome decent for selfie freaks,Cameras,camera,camera,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Cameras are good 24MP camera at this price is simply awesome decent for selfie freaks,24MP camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Cameras are good 24MP camera at this price is simply awesome decent for selfie freaks,selfie,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,"Kirin 710 Processor : lag free performance for gaming like pubg , call of duty & others",Kirin 710 Processor,performance,performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,"Kirin 710 Processor : lag free performance for gaming like pubg , call of duty & others","lag free performance for gaming like pubg , call of duty & others",performance,gaming_performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,sound quality is good & speakers are good & loud,sound quality,sound quality,sound_quality,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,sound quality is good & speakers are good & loud,speakers,speakers,speakers,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,Built quality,build quality,build_quality,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,it feels like glass finished,build quality,build_quality,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,doesn't looks like a plastic body,build quality,build_quality,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,premium look,build quality,design,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Delightful,Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,can hold comfortably in hands,build quality,ergonomics,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,"Superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,"Superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",design,build quality,design,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,"Superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",light weight,build quality,weight,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,"Superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",good battery life,battery,battery,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,"Superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",one full charge will make your day,battery,battery,positive,existing,True
